Municipality,2017,2018,2019,2020,2021
Ananindeua,6980443000,7522961000,8163540000,8117175000,8939830000
Anapu,351211000,368823000,415241000,522861000,588032000
Augusto Corrêa,332780000,305707000,324422000,366358000,363771000
Aurora Do Pará,277394000,260752000,220672000,267915000,308633000
Aveiro,144716000,118032000,123024000,138887000,151969000
Bagre,176250000,207731000,203160000,233042000,250548000
Baião,356595000,346675000,473026000,616016000,562147000
Bannach,76465000,78125000,80972000,100723000,129007000
Barcarena,4818669000,4737436000,5364844000,7433645000,9243937000
Belém,30244780000,31479272000,32372971000,30798556000,33467126000
Belterra,158065000,159132000,163218000,186769000,237196000
Benevides,1394023000,1589789000,1558563000,1677587000,1986729000
Bom Jesus Do Tocantins,164637000,175982000,174025000,208138000,243883000
Bonito,136290000,151768000,159908000,189753000,206682000
Bragança,1116023000,1127614000,1162529000,1379843000,1389573000
Brasil Novo,240063000,251821000,276410000,322791000,379813000
Brejo Grande Do Araguaia,80573000,78157000,81565000,88712000,115088000
Breu Branco,580409000,569601000,600242000,688974000,794309000
Breves,743334000,813404000,806109000,849150000,893933000
Bujaru,498799000,453202000,413630000,488650000,536730000
Cachoeira Do Piriá,188110000,179381000,182757000,215937000,227634000
Cachoeira Do Arari,172484000,183253000,199330000,230595000,255830000
Cametá,1183561000,1131454000,1137121000,1334181000,1393690000
Canaã Dos Carajás,4089225000,7106492000,10704887000,22503439000,34989610000
Capanema,967493000,1027331000,1106990000,1230989000,1427144000
Capitão Poço,454009000,499285000,704295000,705900000,615773000
Castanhal,3758255000,3911556000,4034041000,4300301000,4709312000
Chaves,181414000,187399000,194500000,218467000,248270000
Colares,79044000,80853000,84851000,93144000,100969000
Conceição Do Araguaia,559420000,552553000,547713000,622867000,662825000
Concórdia Do Pará,292381000,293528000,291977000,322762000,420236000
Cumaru Do Norte,275438000,288969000,286710000,408489000,406927000
Curionópolis,860118000,820132000,943189000,644777000,3667341000
Curralinho,630978000,522027000,253303000,267226000,282512000
Curuá,120943000,124467000,129485000,140328000,149717000
Curuçá,276241000,287319000,289789000,330621000,369777000
Dom Eliseu,679845000,685324000,660970000,783667000,940611000
Eldorado Do Carajás,359402000,377618000,429733000,521578000,556042000
Faro,56499000,54909000,60014000,63591000,76730000
Floresta Do Araguaia,249651000,340155000,272593000,414580000,602623000
Garrafão Do Norte,242307000,218668000,220325000,256719000,276033000
Goianésia Do Pará,373555000,339363000,346998000,372711000,506638000
Gurupá,230596000,269626000,280891000,294870000,334287000
Igarapé-Açu,304516000,355023000,346236000,379664000,415894000
Igarapé-Miri,376753000,494094000,519353000,628526000,691233000
Inhangapi,114682000,126126000,119814000,155877000,174628000
Ipixuna Do Pará,541030000,518924000,576413000,607746000,625213000
Irituia,217124000,213458000,220427000,249344000,278006000
Itaituba,1770962000,1814310000,2041945000,2629483000,3078558000
Itupiranga,560443000,518941000,580326000,659096000,841956000
Jacareacanga,327691000,461440000,524934000,575748000,625760000
Jacundá,489217000,484129000,488417000,530795000,615695000
Juruti,1046267000,996562000,1204784000,1366882000,1451756000
Limoeiro Do Ajuru,453594000,404797000,423763000,484931000,503051000
Mãe Do Rio,293012000,292918000,291476000,324787000,340311000
Magalhães Barata,75316000,81723000,74014000,93255000,98432000
Marabá,8599354000,8779878000,11406386000,12928283000,13523145000
Maracanã,219106000,234515000,228263000,255647000,289997000
Marapanim,221402000,234487000,220111000,247826000,263657000
Marituba,1788121000,1901593000,1941535000,2088809000,2578541000
Medicilândia,580793000,613954000,654621000,877101000,1023972000
Melgaço,169796000,178066000,180022000,196394000,216855000
Mocajuba,306536000,294911000,378747000,496711000,452082000
Moju,892534000,841663000,914896000,1267327000,1348481000
Mojuí dos Campos,155209000,153295000,170177000,194352000,288644000
Monte Alegre,690213000,720963000,621428000,711142000,807340000
Muaná,259935000,257444000,292578000,322367000,338764000
Nova Esperança Do Piriá,215609000,197887000,208330000,257783000,350842000
Nova Ipixuna,136995000,136533000,158361000,169370000,192605000
Nova Timboteua,122891000,118687000,115806000,143838000,147491000
Novo Progresso,608458000,584389000,698729000,828234000,971539000
Novo Repartimento,839946000,853901000,831147000,941685000,1117034000
Óbidos,624557000,640921000,977405000,897960000,965930000
Oeiras Do Pará,431765000,388392000,365938000,441907000,419077000
Oriximiná,1701190000,1626475000,2085534000,2498985000,2278575000
Ourém,187883000,169095000,174935000,203579000,200629000
Ourilândia Do Norte,540548000,610583000,634512000,776093000,1302429000
Pacajá,580576000,595519000,677086000,724417000,867605000
Palestina Do Pará,66032000,65452000,72213000,82696000,98769000
Paragominas,2950442000,2646845000,3132989000,3777041000,4280508000
Parauapebas,18439322000,15994405000,23001043000,38012250000,49763040000
Pau D'Arco,74387000,87951000,88909000,97551000,114870000
Peixe-Boi,52915000,55061000,53683000,65783000,72327000
Piçarra,200788000,235131000,211878000,274930000,292755000
Placas,255862000,245415000,258528000,309328000,323263000
Ponta De Pedras,212571000,212006000,221526000,247224000,275230000
Portel,648015000,893428000,785876000,881126000,945733000
Porto De Moz,295945000,309826000,321165000,348933000,404677000
Prainha,302521000,288610000,295872000,342839000,442969000
Primavera,149269000,198941000,236992000,295838000,321726000
Quatipuru,90640000,97467000,99904000,111330000,120882000
Redenção,1700741000,1802377000,1866113000,2030687000,2552479000
Rio Maria,476846000,479389000,494992000,572062000,601872000
Rondon Do Pará,520484000,531514000,533208000,629544000,734050000
Rurópolis,359162000,350270000,375339000,416215000,496837000
Salinópolis,425035000,470323000,530753000,568033000,641901000
Salvaterra,165814000,174926000,181405000,193632000,210371000
Santa Bárbara Do Pará,165777000,172320000,180878000,218844000,240524000
Santa Cruz Do Arari,68177000,68942000,71619000,81656000,96043000
Santa Izabel Do Pará,718745000,757809000,795107000,807771000,935129000
Santa Luzia Do Pará,164124000,163193000,160405000,189273000,196168000
Santa Maria Das Barreiras,375755000,379801000,498864000,736451000,1072244000
Santa Maria Do Pará,310568000,383844000,291091000,307884000,371642000
Santana Do Araguaia,803619000,843465000,1034821000,1115572000,1381972000
Santarém,4835996000,4858426000,5117941000,5501585000,6390528000
Santarém Novo,41026000,45137000,46772000,51036000,60065000
Santo Antônio Do Tauá,344070000,366979000,384943000,432508000,475569000
São Caetano De Odivelas,131227000,142267000,146313000,157950000,183191000
São Domingos Do Araguaia,272450000,280955000,284573000,303527000,359021000
São Domingos Do Capim,309229000,273285000,345699000,372289000,438410000
São Félix Do Xingu,1392878000,1395545000,1448104000,1578823000,2009122000
São Francisco Do Pará,204146000,234027000,240284000,241733000,264374000
São Geraldo Do Araguaia,441677000,490241000,520359000,600210000,710684000
São João Da Ponta,42207000,44628000,46428000,52404000,57407000
São João De Pirabas,158977000,164333000,168796000,180274000,182168000
São João Do Araguaia,116992000,122296000,133441000,163530000,186890000
São Miguel Do Guamá,668061000,676117000,630231000,723336000,793139000
São Sebastião Da Boa Vista,206893000,209187000,205414000,228689000,245028000
Sapucaia,108012000,99547000,105981000,114448000,141176000
Senador José Porfírio,126968000,135520000,162893000,199567000,246281000
Soure,175016000,188033000,197182000,217632000,241803000
Tailândia,846793000,897544000,949052000,1078163000,1291722000
Terra Alta,71819000,70380000,71267000,77180000,83046000
Terra Santa,527426000,510355000,470503000,433503000,519541000
