Municipality,2017,2018,2019,2020,2021
João Pinheiro,1462034000,1468485000,1520004000,1847326000,2156171000
Joaquim Felício,40378000,44067000,51309000,66736000,72335000
Jordânia,82015000,90770000,93263000,95050000,107172000
José Gonçalves De Minas,44991000,44770000,46222000,47695000,51745000
José Raydan,54606000,51562000,59947000,70226000,72338000
Josenópolis,36223000,37131000,51326000,49442000,58028000
Nova União,82164000,85846000,95730000,92510000,107518000
Juatuba,1202317000,1205234000,1351105000,1323792000,1437155000
Juiz De Fora,15990009000,16956903000,18703878000,16873180000,20297559000
Juramento,36755000,38635000,41362000,45775000,51609000
Juruaia,164669000,153488000,171679000,197062000,274109000
Juvenília,50146000,51132000,50324000,58309000,65633000
Ladainha,113162000,118471000,123126000,132952000,147330000
Lagamar,262615000,167001000,141243000,190759000,242527000
Lagoa Da Prata,1631758000,1606789000,1647964000,1936408000,1986274000
Lagoa Dos Patos,44678000,41742000,44508000,52929000,59611000
Lagoa Dourada,202055000,222658000,271466000,268039000,345418000
Lagoa Formosa,333814000,344819000,396217000,499754000,565583000
Lagoa Grande,227765000,240519000,210370000,230483000,292506000
Lagoa Santa,1661191000,1650118000,1817034000,1866029000,2189391000
Lajinha,313283000,344923000,312780000,373988000,399673000
Lambari,333523000,321283000,354634000,356772000,405064000
Lamim,40216000,41755000,39938000,45129000,52131000
Laranjal,75712000,77627000,81397000,87353000,95788000
Lassance,111960000,126486000,124093000,152982000,192541000
Lavras,2486306000,2621298000,2764787000,2677947000,2941931000
Leandro Ferreira,38517000,40163000,41708000,47758000,55510000
Leme Do Prado,50546000,49908000,59037000,62623000,66205000
Leopoldina,1038955000,1017195000,1022986000,1016686000,1113027000
Liberdade,81900000,72444000,82700000,93026000,107638000
Lima Duarte,250861000,277194000,318673000,289929000,339660000
Limeira Do Oeste,342568000,389916000,402415000,394732000,462851000
Lontra,65128000,69543000,77185000,82291000,93858000
Luisburgo,81967000,80875000,68806000,100811000,132789000
Luislândia,48543000,47888000,53235000,58799000,65474000
Luminárias,102201000,90731000,92942000,109098000,149070000
Luz,487070000,504724000,549111000,564801000,657025000
Machacalis,74521000,81944000,89794000,104446000,112451000
Machado,962260000,1059026000,976995000,1119550000,1373850000
Madre De Deus De Minas,156661000,163449000,192300000,245353000,301988000
Malacacheta,181490000,194124000,202041000,224481000,235819000
Mamonas,47993000,47860000,51992000,54175000,60107000
Manga,187800000,194752000,214806000,225275000,243371000
Manhuaçu,2386664000,2098584000,2606266000,2983894000,3278527000
Manhumirim,448202000,474263000,416751000,525573000,563494000
Mantena,376868000,392734000,410569000,418592000,476940000
Maravilhas,115234000,140866000,164063000,194177000,233154000
Mar De Espanha,170449000,171418000,203358000,205643000,227578000
Maria Da Fé,157653000,166188000,184068000,186573000,203136000
Mariana,2899109000,2755801000,2045832000,3265441000,7367378000
Marilac,42057000,41666000,50234000,54883000,57719000
Mário Campos,154911000,156117000,170510000,178790000,198000000
Maripá De Minas,57643000,54895000,61417000,72480000,74979000
Marliéria,39495000,43102000,42521000,48438000,60450000
Marmelópolis,30952000,32358000,34375000,40060000,42794000
Martinho Campos,320819000,334508000,347164000,379202000,474772000
Martins Soares,135902000,199195000,199076000,253644000,215681000
Mata Verde,62619000,68104000,72063000,72703000,91577000
Materlândia,44127000,43659000,47777000,54175000,60534000
Mateus Leme,692535000,698269000,690820000,670587000,1079651000
Matias Barbosa,505432000,532848000,564646000,536256000,628205000
Matias Cardoso,132262000,114987000,124263000,138608000,158638000
Matipó,241024000,381607000,374481000,418607000,425322000
Mato Verde,119946000,125293000,145193000,148164000,157578000
Matozinhos,1003673000,1019900000,1092283000,1158778000,1506154000
Matutina,63001000,68643000,72509000,86969000,97194000
Medeiros,120499000,125021000,124816000,178547000,247330000
Medina,215514000,212066000,224440000,228141000,253051000
Mendes Pimentel,56106000,56056000,61091000,73003000,77396000
Mercês,115991000,119378000,127628000,135824000,151768000
Mesquita,45476000,45828000,49946000,51885000,59463000
Minas Novas,251498000,298531000,311565000,334333000,350142000
Minduri,70615000,69378000,97594000,123737000,163786000
Mirabela,122795000,126659000,133327000,155578000,163017000
Miradouro,130089000,129700000,142277000,143892000,174006000
Miraí,242606000,253333000,247762000,257284000,334110000
Miravânia,36847000,37548000,39551000,40545000,46808000
Moeda,59013000,58113000,65637000,70028000,76842000
Moema,106939000,112888000,113807000,123257000,152615000
Monjolos,41289000,28160000,33845000,38711000,46811000
Monsenhor Paulo,195527000,175378000,173139000,191922000,228158000
Montalvânia,126213000,131407000,139314000,142705000,165416000
Monte Alegre De Minas,551193000,530701000,523027000,614270000,757892000
Monte Azul,190658000,194263000,219475000,229901000,256132000
Monte Belo,282956000,263742000,283054000,322028000,365890000
Monte Carmelo,1091727000,1131977000,1192255000,1275768000,1558716000
Monte Formoso,32087000,34491000,37616000,40744000,44055000
Monte Santo De Minas,357422000,405028000,386817000,448557000,483352000
Montes Claros,8967797000,9467152000,9717980000,9688067000,10800251000
Monte Sião,413101000,412098000,443306000,482817000,606448000
Montezuma,60269000,68834000,68568000,85861000,91071000
Morada Nova De Minas,272361000,311247000,339747000,404415000,541171000
Morro Da Garça,47264000,46600000,48823000,56511000,51051000
Morro Do Pilar,32574000,32573000,34606000,40247000,44118000
Munhoz,88032000,89205000,98446000,105068000,128563000
Muriaé,2100497000,2154750000,2411325000,2432906000,2655056000
Mutum,374290000,378713000,387793000,480084000,508583000
Muzambinho,415086000,391482000,427622000,482541000,535441000
Nacip Raydan,27006000,28601000,29689000,32852000,37386000
Nanuque,644021000,708622000,801760000,857061000,808599000
Naque,68615000,74448000,82977000,83512000,90048000
Natalândia,43839000,46040000,52051000,61261000,75129000
Natércia,67921000,75530000,76256000,85091000,115354000
Nazareno,208793000,310979000,311644000,409022000,668882000
Nepomuceno,444299000,457824000,463409000,538837000,618502000
Ninheira,75958000,85168000,90357000,102387000,126384000
Nova Belém,37655000,41207000,44366000,63191000,83428000
Nova Era,321599000,345060000,367331000,387330000,432891000
Nova Lima,9117141000,10447454000,11862275000,12216158000,21042646000
Nova Módica,42533000,43759000,45801000,51482000,58650000
Nova Ponte,772973000,1141263000,1253814000,1248529000,1116305000
Nova Porteirinha,104542000,105469000,109714000,108488000,116257000
Nova Resende,296597000,275820000,275392000,297869000,385669000
Nova Serrana,2603063000,2371525000,2569839000,2398608000,2635892000
Novo Cruzeiro,233637000,236260000,276757000,295189000,330447000
Novo Oriente De Minas,81944000,92902000,98320000,118181000,121571000
Novorizonte,50754000,51411000,54352000,59253000,70417000
Olaria,23635000,24163000,24387000,29207000,31909000
Olhos-D'Água,120829000,157085000,151012000,216936000,211931000
Olímpio Noronha,36589000,33691000,36443000,41017000,43929000
Oliveira,848146000,859621000,902712000,910179000,1105051000
Oliveira Fortes,30147000,31079000,32544000,34742000,40532000
Onça De Pitangui,49110000,51423000,57430000,63060000,64915000
Oratórios,53327000,50727000,56340000,61626000,70864000
Orizânia,80575000,85704000,72733000,89982000,122059000
Ouro Branco,3360517000,4075079000,4183473000,4575454000,8842769000
Ouro Fino,657852000,714799000,668434000,824885000,934189000
Ouro Preto,4647154000,6833814000,3143225000,3748902000,9520035000
Ouro Verde De Minas,46240000,48980000,53520000,59464000,67814000
Padre Carvalho,50313000,55512000,58394000,56413000,58192000
Padre Paraíso,168937000,172861000,189029000,204009000,213919000
Paineiras,59756000,59541000,62898000,71054000,82825000
Pains,311190000,286928000,317393000,378565000,531428000
Pai Pedro,43445000,44561000,49801000,54818000,58645000
Paiva,22165000,23648000,24544000,25852000,27301000
Palma,68944000,73056000,79606000,88392000,103673000
Palmópolis,47116000,49041000,54767000,57337000,63874000
Papagaios,250221000,260070000,267094000,305535000,374343000
Paracatu,3509504000,4315922000,4915046000,5561745000,7198617000
Pará De Minas,2745667000,2901042000,3122895000,3382741000,4025297000
Paraguaçu,481617000,470359000,510011000,563789000,650754000
Paraisópolis,578217000,490042000,471286000,535656000,592590000
Paraopeba,565418000,749083000,833953000,780045000,918487000
Passabém,19820000,19818000,19873000,21852000,23595000
Passa Quatro,376241000,371779000,500158000,529024000,472423000
Passa Tempo,187769000,244078000,269260000,292293000,480322000
Passa-Vinte,32145000,32538000,31850000,35484000,42087000
Passos,2387556000,2484485000,2671297000,2618382000,3024709000
Patis,44517000,46310000,47810000,51476000,55018000
Patos De Minas,4378909000,4697187000,4957415000,5401454000,6145130000
Patrocínio,2737824000,2883802000,2815310000,3290515000,3678404000
Patrocínio Do Muriaé,74361000,90678000,100166000,117250000,116065000
Paula Cândido,95273000,96813000,100632000,115403000,136815000
Paulistas,43964000,47820000,52201000,60926000,67350000
Pavão,69523000,70961000,74685000,83348000,93078000
Peçanha,179174000,195375000,211117000,223531000,270148000
Pedra Azul,273042000,299114000,311932000,322278000,401448000
Pedra Bonita,62333000,66386000,61171000,82849000,96477000
Pedra Do Anta,48692000,37853000,40363000,45835000,57727000
Pedra Do Indaiá,79388000,92103000,98273000,106681000,116154000
Pedra Dourada,34958000,30457000,31868000,36326000,42293000
Pedralva,129793000,131059000,130219000,146715000,182678000
Pedras De Maria Da Cruz,84538000,82823000,92108000,98406000,109590000
Pedrinópolis,106528000,115847000,124966000,155222000,204115000
Pedro Leopoldo,1437510000,1424081000,1532542000,1651762000,1939056000
Pedro Teixeira,21377000,22265000,22934000,26480000,30268000
Pequeri,42885000,43052000,48158000,50739000,62540000
Pequi,60366000,59871000,64544000,77816000,85506000
Perdigão,214033000,198774000,237567000,215069000,227190000
Perdizes,600359000,677517000,857593000,1273680000,1629092000
Perdões,478433000,490763000,522500000,579939000,627041000
Periquito,72610000,88954000,99666000,99485000,111678000
Pescador,38631000,38990000,40169000,43911000,47101000
Piau,46516000,78016000,68578000,71216000,92672000
Piedade De Caratinga,88779000,89551000,101866000,113557000,140778000
Piedade De Ponte Nova,49994000,49681000,52751000,59321000,62735000
Piedade Do Rio Grande,73776000,65464000,78856000,91755000,110401000
Piedade Dos Gerais,62143000,64599000,64362000,81453000,89821000
Pimenta,177682000,190073000,199497000,229654000,281722000
Pingo-D'Água,38711000,40599000,48041000,46235000,52720000
Pintópolis,56757000,60259000,61078000,64984000,71219000
Piracema,105262000,147190000,198359000,249107000,303200000
Pirajuba,308772000,305785000,321820000,405543000,403824000
Piranga,159805000,161878000,177905000,189533000,200178000
Piranguçu,53587000,65169000,70643000,70548000,78368000
Piranguinho,101907000,109671000,117900000,125873000,136079000
Pirapetinga,588957000,449242000,515621000,529634000,639090000
Pirapora,1837287000,2282691000,2372977000,2263787000,2875259000
Piraúba,164069000,159032000,172757000,185103000,200665000
Pitangui,509921000,530475000,553055000,582424000,741338000
Piumhi,866590000,869198000,949218000,1046978000,1280835000
Planura,488218000,455288000,507634000,536269000,574328000
Poço Fundo,259193000,308818000,293442000,325495000,403867000
Poços De Caldas,6366825000,7664455000,7670494000,7988927000,8531692000
Pocrane,101932000,90258000,93365000,103711000,121719000
Pompéu,731803000,784260000,839482000,940090000,1170187000
Ponte Nova,1649843000,1657871000,1889958000,1983083000,2144994000
Ponto Chique,38234000,38554000,42171000,48122000,52076000
Ponto Dos Volantes,81522000,85148000,97053000,110210000,122556000
Porteirinha,335665000,335876000,394791000,441065000,526939000
Porto Firme,90556000,90900000,99212000,111459000,130247000
Poté,137602000,141468000,146902000,162618000,168795000
Pouso Alegre,7390810000,7646810000,8796074000,8140762000,10720093000
Pouso Alto,220793000,223942000,262830000,323645000,277468000
Prados,152090000,165806000,183201000,206921000,229201000
Prata,928682000,977983000,1002600000,1135176000,1293341000
Pratápolis,137981000,155092000,148626000,181792000,228649000
Pratinha,94155000,92897000,86745000,123076000,154731000
Presidente Bernardes,46945000,47229000,53255000,58401000,67716000
Presidente Juscelino,42499000,45338000,52007000,53712000,49095000
Presidente Kubitschek,27659000,28103000,29963000,32905000,36194000
Presidente Olegário,452692000,438486000,445437000,564509000,731489000
Alto Jequitibá,120232000,96370000,89606000,111278000,125604000
Prudente De Morais,144569000,148249000,169800000,175451000,203136000
Quartel Geral,50627000,54406000,55797000,67541000,77631000
Queluzito,29149000,28883000,32190000,37821000,40046000
Raposos,298129000,183935000,156110000,256081000,193699000
Raul Soares,293270000,313345000,341576000,360069000,423415000
Recreio,98431000,101783000,107709000,110320000,123322000
Reduto,92600000,90271000,88173000,106434000,121225000
Resende Costa,154881000,181356000,180620000,192583000,207535000
Resplendor,221913000,223248000,239950000,251505000,277857000
Ressaquinha,171694000,202312000,221265000,278273000,373035000
Riachinho,90681000,99900000,110111000,135677000,157263000
Riacho Dos Machados,205894000,284359000,326802000,445376000,532748000
Ribeirão Das Neves,3856596000,4118300000,4347372000,4428372000,5181711000
Ribeirão Vermelho,85733000,86432000,120703000,113353000,105348000
Rio Acima,131655000,191268000,210471000,242478000,472471000
Rio Casca,186960000,194740000,212305000,219531000,237367000
Rio Doce,35979000,43022000,50301000,49256000,51873000
Rio Do Prado,39855000,41205000,45657000,50415000,52673000
Rio Espera,46659000,48199000,49835000,53920000,59610000
Rio Manso,81000000,85679000,102978000,102680000,113745000
Rio Novo,111022000,106973000,111060000,116963000,120108000
Rio Paranaíba,499052000,516667000,573022000,744364000,906353000
Rio Pardo De Minas,259982000,275161000,271131000,285350000,345467000
Rio Piracicaba,511167000,561852000,774356000,862932000,1339301000
Rio Pomba,300535000,341118000,356775000,401328000,417439000
Rio Preto,55122000,52649000,61562000,69619000,69182000
Rio Vermelho,112780000,112205000,116003000,124581000,140768000
Ritápolis,69118000,64225000,67228000,80661000,90357000
Rochedo De Minas,25830000,26298000,64142000,110880000,114736000
Rodeiro,409843000,356191000,402292000,459406000,550096000
Romaria,136021000,140093000,121364000,172452000,271547000
Rosário Da Limeira,47753000,47176000,46237000,53321000,67739000
Rubelita,56558000,55970000,59850000,61002000,80085000
Rubim,85337000,85144000,92085000,101705000,111720000
Sabará,2524899000,2922679000,3062095000,3152747000,4201730000
Sabinópolis,182223000,180884000,186748000,203335000,334745000
Sacramento,1531441000,1341468000,1319336000,1609796000,2090987000
Salinas,553787000,546559000,571148000,599061000,667409000
Salto Da Divisa,97660000,103027000,100417000,102253000,132072000
Santa Bárbara,766291000,827860000,868631000,1101501000,1628493000
Santa Bárbara Do Leste,79345000,89524000,95720000,97315000,111650000
Santa Bárbara Do Monte Verde,38743000,49828000,51678000,50979000,56244000
Santa Bárbara Do Tugúrio,56009000,57970000,60443000,68779000,70594000
Santa Cruz De Minas,88465000,92205000,95495000,89192000,103519000
Santa Cruz De Salinas,37556000,37072000,40757000,44400000,49009000
Santa Cruz Do Escalvado,48725000,52311000,55166000,58021000,76965000
Santa Efigênia De Minas,39966000,44558000,45747000,46532000,51019000
Santa Fé De Minas,37873000,38677000,42513000,49272000,59942000
Santa Helena De Minas,44429000,46685000,49131000,54397000,57951000
Santa Juliana,640224000,769360000,745495000,698054000,860482000
Santa Luzia,3785048000,3984679000,4133081000,4520312000,5290589000
Santa Margarida,271958000,264032000,216072000,305685000,354063000
Santa Maria De Itabira,165438000,163485000,180976000,189152000,269043000
Santa Maria Do Salto,40113000,40975000,43141000,46947000,49995000
Santa Maria Do Suaçuí,133387000,139083000,143426000,155334000,170840000
Santana Da Vargem,136252000,137402000,126880000,158878000,242910000
Santana De Cataguases,38773000,40368000,42436000,45767000,49933000
Santana De Pirapama,83329000,84297000,95008000,103676000,116685000
Santana Do Deserto,39325000,39395000,41527000,45015000,47378000
Santana Do Garambéu,28649000,30847000,30872000,35339000,39157000
Santana Do Jacaré,76013000,78707000,84803000,95746000,105993000
Santana Do Manhuaçu,109821000,112078000,101104000,141217000,189846000
Santana Do Paraíso,490303000,648539000,745277000,776561000,750463000
Santana Do Riacho,61255000,63400000,80735000,88587000,103786000
Santana Dos Montes,32700000,33900000,40624000,45265000,49866000
Santa Rita De Caldas,146479000,157616000,168317000,184449000,227955000
Santa Rita De Jacutinga,55138000,56325000,62714000,66967000,74817000
Santa Rita De Minas,77652000,79952000,89196000,125108000,151813000
Santa Rita De Ibitipoca,56789000,52351000,67416000,63897000,61761000
Santa Rita Do Itueto,126013000,93592000,82952000,122552000,179081000
Santa Rita Do Sapucaí,1558173000,1463878000,1650726000,1661193000,1944614000
Santa Rosa Da Serra,55863000,57030000,49901000,74373000,102034000
Santa Vitória,721373000,696737000,668591000,696630000,802690000
Santo Antônio Do Amparo,249715000,285100000,274269000,319509000,354432000
Santo Antônio Do Aventureiro,44598000,45435000,49746000,55501000,67920000
Santo Antônio Do Grama,70856000,60237000,71832000,79300000,85672000
Santo Antônio Do Itambé,34641000,35698000,39190000,43431000,44707000
Santo Antônio Do Jacinto,89129000,88609000,96784000,101057000,114554000
Santo Antônio Do Monte,529044000,575930000,611977000,697205000,843029000
Santo Antônio Do Retiro,48678000,49812000,55868000,61758000,70750000
Santo Antônio Do Rio Abaixo,22201000,22900000,23989000,27925000,28497000
Santo Hipólito,33654000,35785000,36272000,43857000,50200000
Santos Dumont,906123000,939829000,1009229000,1024559000,1102977000
São Bento Abade,60872000,60954000,67141000,77932000,89310000
São Brás Do Suaçuí,51230000,54372000,63258000,68633000,80505000
São Domingos Das Dores,66634000,72798000,67337000,79086000,91417000
São Domingos Do Prata,241204000,252408000,261661000,285742000,313491000
São Félix De Minas,35929000,37384000,38689000,43043000,43895000
São Francisco,495013000,506328000,532395000,585508000,648148000
São Francisco De Paula,96228000,98942000,91374000,109887000,150481000
São Francisco De Sales,144458000,133224000,139722000,156256000,194087000
São Francisco Do Glória,53372000,54636000,52569000,67104000,72567000
São Geraldo,204659000,200183000,220977000,241931000,264434000
São Geraldo Da Piedade,36105000,36344000,36386000,40171000,44821000
São Geraldo Do Baixio,37035000,39118000,42004000,48080000,49944000
São Gonçalo Do Abaeté,211087000,228736000,231535000,258377000,325580000
São Gonçalo Do Pará,232681000,245817000,239927000,226223000,311248000
São Gonçalo Do Rio Abaixo,3125581000,3650453000,3418942000,2479386000,7603851000
São Gonçalo Do Sapucaí,612130000,617379000,650829000,776436000,987545000
São Gotardo,757619000,830304000,945690000,981282000,1189360000
São João Batista Do Glória,140981000,147496000,160757000,200681000,268158000
São João Da Lagoa,42221000,41428000,48500000,54768000,60418000
São João Da Mata,42207000,43196000,42455000,50193000,55082000
São João Da Ponte,195981000,198617000,215297000,255400000,268895000
São João Das Missões,78291000,81506000,83766000,90110000,92400000
São João Del Rei,2033470000,2153667000,2441981000,2501647000,3005052000
São João Do Manhuaçu,148526000,115952000,127492000,151480000,183099000
São João Do Manteninha,54143000,58719000,66992000,73041000,81243000
São João Do Oriente,79679000,83747000,94167000,100702000,101877000
São João Do Pacuí,33974000,33691000,35546000,40110000,44646000
São João Do Paraíso,200161000,216218000,235296000,252422000,285080000
São João Evangelista,169054000,171085000,206308000,219565000,253108000
São João Nepomuceno,413804000,395915000,429754000,430419000,506309000
São Joaquim De Bicas,602811000,624472000,580176000,707661000,1083354000
São José Da Barra,685066000,556562000,791914000,810222000,891476000
São José Da Lapa,490896000,474856000,518085000,562068000,625195000
São José Da Safira,38415000,38572000,42274000,40232000,49560000
São José Da Varginha,83216000,82200000,92773000,107172000,114407000
São José Do Alegre,42758000,50313000,49708000,52144000,57940000
São José Do Divino,36655000,37535000,39353000,45630000,53046000
São José Do Goiabal,54074000,53833000,55861000,61138000,67388000
São José Do Jacuri,64897000,62890000,77750000,95934000,99911000
São José Do Mantimento,31435000,32044000,31900000,39590000,44175000
São Lourenço,977055000,1047174000,1119634000,1042079000,1177922000
São Miguel Do Anta,77373000,77055000,80290000,94634000,105089000
São Pedro Da União,98055000,91155000,82585000,109581000,148166000
São Pedro Dos Ferros,110094000,113133000,113936000,123287000,134410000
São Pedro Do Suaçuí,57938000,60048000,66777000,78552000,81787000
São Romão,142497000,161062000,152019000,168415000,243121000
São Roque De Minas,193996000,205787000,238706000,277701000,323185000
São Sebastião Da Bela Vista,339819000,375584000,449258000,392968000,443000000
São Sebastião Da Vargem Alegre,46152000,50261000,52624000,53081000,66816000
São Sebastião Do Anta,68162000,64994000,66149000,82501000,104241000
São Sebastião Do Maranhão,73154000,76832000,81177000,92967000,100816000
São Sebastião Do Oeste,301817000,403818000,364127000,599487000,597003000
São Sebastião Do Paraíso,1937801000,1769811000,1960834000,2065230000,2236521000
São Sebastião Do Rio Preto,18767000,19627000,20809000,23465000,25970000
São Sebastião Do Rio Verde,27162000,28335000,31967000,34641000,35692000
São Tiago,161471000,169777000,176857000,206644000,246094000
São Tomás De Aquino,138381000,126909000,117483000,166100000,195273000
São Thomé Das Letras,89577000,91622000,104901000,113304000,137362000
São Vicente De Minas,163002000,161719000,165761000,182084000,206110000
Sapucaí-Mirim,97188000,101473000,111417000,107142000,110272000
Sardoá,58901000,61304000,61284000,64112000,68802000
Sarzedo,895184000,908856000,1069378000,1168334000,2190992000
Setubinha,86745000,90384000,90165000,103597000,122686000
Sem-Peixe,29917000,30114000,31768000,33589000,36665000
Senador Amaral,55958000,60769000,68018000,76852000,89448000
Senador Cortes,26799000,27511000,33054000,34998000,38035000
Senador Firmino,72191000,80283000,95845000,100334000,106777000
Senador José Bento,22674000,22675000,22609000,28497000,35496000
Senador Modestino Gonçalves,92084000,98394000,95335000,86611000,92207000
Senhora De Oliveira,68279000,69512000,70582000,74933000,81083000
Senhora Do Porto,37487000,36288000,36398000,40530000,49778000
Senhora Dos Remédios,79254000,82346000,89155000,101628000,115769000
Sericita,70906000,74582000,64957000,113536000,104985000
Seritinga,33080000,35452000,40102000,42556000,45232000
Serra Azul De Minas,31825000,33547000,34678000,38465000,45066000
Serra Da Saudade,19080000,18792000,19147000,21061000,21891000
Serra Dos Aimorés,83634000,88131000,75394000,81468000,91034000
Serra Do Salitre,345011000,476867000,573347000,608670000,983222000
Serrania,124619000,133750000,123362000,143681000,161647000
Serranópolis De Minas,34898000,35287000,37277000,40327000,47456000
Serranos,27790000,28787000,29345000,32722000,38562000
Serro,224585000,232964000,259739000,271980000,292440000
Sete Lagoas,8265467000,8537314000,9549062000,9248447000,12659740000
Silveirânia,27033000,27230000,28059000,32326000,35150000
Silvianópolis,121074000,94586000,121412000,133051000,141556000
Simão Pereira,72691000,71734000,73265000,103527000,104072000
Simonésia,190366000,186439000,196108000,246232000,285287000
Sobrália,50680000,52863000,55838000,61278000,67373000
Soledade De Minas,57999000,58285000,67136000,73386000,81877000
Tabuleiro,49486000,50531000,56575000,62831000,65731000
Taiobeiras,439707000,442753000,473405000,505209000,557419000
Taparuba,36570000,34697000,38386000,44204000,49070000
Tapira,681372000,625048000,455692000,594040000,689238000
Tapiraí,33544000,39431000,36432000,48844000,56041000
Taquaraçu De Minas,47237000,47284000,49840000,58853000,65923000
Tarumirim,137622000,144830000,151619000,166832000,188341000
Teixeiras,130976000,142102000,148814000,161598000,191322000
Teófilo Otoni,2366137000,2523750000,2699362000,2801014000,2951670000
Timóteo,2878090000,3220960000,3167220000,3640302000,5611339000
Tiradentes,154768000,162980000,184488000,167493000,205707000
Tiros,190596000,198081000,224240000,291103000,379859000
Tocantins,281415000,275643000,295811000,307345000,349691000
Tocos Do Moji,49780000,51430000,53044000,61322000,70719000
Toledo,88771000,74880000,81637000,82533000,107161000
Tombos,91085000,98332000,97481000,113864000,130979000
Três Corações,2215991000,2315536000,2456201000,2609743000,2959361000
Três Marias,1668395000,2703184000,2471820000,2956212000,3151633000
Três Pontas,1254687000,1350568000,1263014000,1558236000,1879264000
Tumiritinga,54332000,55948000,63853000,71845000,82915000
Tupaciguara,688934000,651767000,692564000,851446000,946559000
Turmalina,309302000,372693000,373707000,422269000,443706000
Turvolândia,113108000,100463000,99720000,114649000,139820000
Ubá,2862007000,2734114000,3054765000,3298221000,3573940000
Ubaí,93301000,98488000,101440000,105018000,117219000
Ubaporanga,122672000,122788000,135867000,152350000,167991000
Uberaba,13153000000,14732211000,15545269000,17194824000,20397519000
Uberlândia,34211313000,37513607000,37638742000,37635138000,43129285000
Umburatiba,30648000,29922000,33073000,48386000,44172000
Unaí,2672946000,3267962000,2936329000,3322128000,4319563000
União De Minas,131469000,111151000,105938000,116558000,130424000
Uruana De Minas,50289000,49902000,52052000,66850000,97097000
Urucânia,176483000,170882000,206153000,241628000,239997000
Urucuia,129423000,131313000,134171000,154583000,193242000
Vargem Alegre,57846000,64682000,70511000,68584000,77331000
Vargem Bonita,41966000,43567000,49458000,61297000,87637000
Vargem Grande Do Rio Pardo,44770000,46838000,50906000,59071000,68130000
Varginha,5442494000,5520239000,6299357000,6255874000,8093810000
Varjão De Minas,181466000,149759000,150044000,207830000,316199000
Várzea Da Palma,678696000,717291000,812466000,877255000,1067613000
Varzelândia,150629000,157715000,167373000,174079000,187206000
Vazante,644764000,718745000,799371000,889181000,1168648000
Verdelândia,84673000,83288000,85949000,94911000,115451000
Veredinha,86482000,99516000,98273000,121109000,133052000
Veríssimo,127936000,113061000,112503000,130691000,170434000
Vermelho Novo,44921000,46204000,41445000,51198000,64216000
Vespasiano,2594552000,2431551000,2508278000,2708274000,3020537000
Viçosa,1557715000,1634791000,1750583000,1784059000,1811859000
Vieiras,37684000,38200000,37491000,47737000,53459000
Mathias Lobato,32181000,32731000,37531000,42201000,43931000
Virgem Da Lapa,111829000,116279000,119305000,124047000,131604000
Virgínia,106276000,115671000,129993000,160111000,180446000
Virginópolis,139959000,148125000,160890000,162867000,183953000
Virgolândia,50198000,47534000,51142000,54960000,62674000
Visconde Do Rio Branco,1130961000,1123525000,1284407000,1300482000,1351679000
Volta Grande,63066000,84287000,67671000,126464000,140361000
Wenceslau Braz,26041000,26726000,28158000,30590000,33088000
Afonso Cláudio,440152000,437986000,448609000,500669000,569771000
Águia Branca,191694000,172210000,169157000,192815000,246004000
Água Doce Do Norte,137382000,134205000,138666000,166304000,184402000
Alegre,484465000,468543000,483634000,505304000,575138000
Alfredo Chaves,340072000,325905000,357763000,377864000,457719000
Alto Rio Novo,92149000,83399000,90121000,97402000,113034000
Anchieta,804793000,917760000,1010392000,1034593000,5764148000
Apiacá,95607000,105363000,97675000,104402000,118193000
Aracruz,5202206000,5394417000,5211274000,4517140000,5313106000
Atilio Vivacqua,264370000,247599000,273364000,341651000,360866000
Baixo Guandu,616782000,704863000,659948000,865834000,928265000
Barra De São Francisco,783726000,842101000,808889000,1001277000,1165006000
Boa Esperança,255900000,211500000,237641000,228941000,271044000
Bom Jesus Do Norte,142977000,180680000,161196000,183196000,186832000
Brejetuba,209566000,232283000,185360000,261373000,294750000
Cachoeiro De Itapemirim,4757488000,4837080000,4920036000,5309290000,6146964000
Cariacica,8002899000,9404337000,9962712000,10218219000,13698973000
Castelo,863784000,877985000,912235000,1094825000,1170595000
Colatina,3333083000,3476469000,3566767000,3789365000,4378306000
Conceição Da Barra,424527000,420222000,495750000,514237000,607069000
Conceição Do Castelo,198231000,196052000,204069000,241926000,279078000
Divino De São Lourenço,67244000,67761000,60656000,69001000,82578000
Domingos Martins,706255000,699721000,785041000,845454000,957684000
Dores Do Rio Preto,127312000,133149000,136768000,164815000,159782000
Ecoporanga,303762000,302280000,302721000,362681000,411089000
Fundão,421892000,447409000,404435000,403181000,468479000
Governador Lindenberg,179070000,270220000,188584000,251387000,334329000
Guaçuí,525457000,539561000,518674000,562724000,612495000
Guarapari,2161064000,2159993000,2368730000,2318220000,2537472000
Ibatiba,318253000,332513000,315458000,376018000,450090000
Ibiraçu,242639000,242455000,287623000,270288000,289514000
Ibitirama,146380000,118111000,112082000,156069000,171983000
Iconha,332003000,317441000,322834000,303161000,314849000
Irupi,193602000,211790000,171712000,258963000,236224000
Itaguaçu,251555000,240929000,260155000,276876000,325867000
Itapemirim,3130547000,5683683000,4832436000,3245185000,5744186000
Itarana,211073000,221010000,203113000,217400000,266030000
Iúna,411720000,437281000,422936000,532310000,538444000
Jaguaré,460373000,589978000,647212000,651596000,963635000
