Jaú Do Tocantins,22,20,21,82,38
Juarina,11,15,14,52,28
Lagoa Da Confusão,165,143,191,311,273
Lagoa Do Tocantins,17,23,29,67,28
Lajeado,45,35,61,88,44
Lavandeira,12,7,12,32,15
Lizarda,16,15,11,44,23
Luzinópolis,22,20,22,49,18
Marianópolis Do Tocantins,30,38,45,84,82
Mateiros,30,45,39,76,64
Maurilândia Do Tocantins,21,17,15,57,40
Miracema Do Tocantins,282,211,245,328,309
Miranorte,140,134,163,227,163
Monte Do Carmo,42,36,27,91,81
Monte Santo Do Tocantins,17,8,10,61,17
Palmeiras Do Tocantins,25,19,24,84,22
Muricilândia,23,12,11,71,22
Natividade,94,103,100,213,142
Nazaré,27,24,29,70,27
Nova Olinda,66,72,85,108,107
Nova Rosalândia,37,23,30,51,42
Novo Acordo,38,37,44,90,49
Novo Alegre,10,7,5,37,12
Novo Jardim,26,15,24,68,26
Oliveira De Fátima,8,9,15,46,10
Palmeirante,24,35,23,77,47
Palmeirópolis,68,82,74,126,111
Paraíso Do Tocantins,582,610,727,905,1011
Paranã,79,56,53,139,103
Pau D'Arco,31,39,39,82,38
Pedro Afonso,181,167,193,252,228
Peixe,72,49,69,140,110
Pequizeiro,30,31,25,104,40
Colméia,79,68,72,173,110
Pindorama Do Tocantins,26,23,22,60,59
Piraquê,12,15,15,74,17
Pium,73,35,51,105,59
Ponte Alta Do Bom Jesus,22,17,20,74,34
Ponte Alta Do Tocantins,62,43,72,112,89
Porto Alegre Do Tocantins,27,17,31,59,27
Porto Nacional,672,772,960,1220,1277
Praia Norte,40,30,47,74,39
Presidente Kennedy,26,30,28,85,50
Pugmil,28,24,20,61,24
Recursolândia,19,21,13,75,38
Riachinho,29,14,17,58,30
Rio Da Conceição,18,9,13,42,29
Rio Dos Bois,19,21,12,60,22
Rio Sono,44,31,22,64,47
Sampaio,26,12,25,73,32
Sandolândia,52,42,53,71,53
Santa Fé Do Araguaia,66,46,82,196,99
Santa Maria Do Tocantins,19,15,11,44,17
Santa Rita Do Tocantins,30,22,15,68,31
Santa Rosa Do Tocantins,53,29,40,89,55
Santa Tereza Do Tocantins,10,14,18,51,33
Santa Terezinha Do Tocantins,23,16,15,48,18
São Bento Do Tocantins,30,22,30,75,49
São Félix Do Tocantins,11,26,25,58,54
São Miguel Do Tocantins,42,46,48,142,84
São Salvador Do Tocantins,30,12,20,67,25
São Sebastião Do Tocantins,18,17,14,65,36
São Valério,15,26,38,94,39
Silvanópolis,54,38,40,70,46
Sítio Novo Do Tocantins,38,40,38,52,58
Sucupira,28,10,9,45,20
Taguatinga,78,84,74,183,106
Taipas Do Tocantins,18,14,17,42,16
Talismã,37,34,17,68,22
Palmas,5260,6083,7539,7978,9114
Tocantínia,57,30,34,112,56
Tocantinópolis,128,161,129,231,178
Tupirama,17,16,12,53,18
Tupiratins,16,14,12,40,10
Wanderlândia,44,56,58,122,59
Xambioá,128,94,100,182,111
Açailândia,536,690,754,1125,1001
Afonso Cunha,11,8,18,66,13
Água Doce Do Maranhão,33,24,36,96,42
Alcântara,39,42,53,161,57
Aldeias Altas,37,28,40,134,64
Altamira Do Maranhão,8,12,11,64,17
Alto Alegre Do Maranhão,50,65,86,212,116
Alto Alegre Do Pindaré,67,64,63,176,104
Alto Parnaíba,49,56,91,181,102
Amapá Do Maranhão,22,14,23,123,34
Amarante Do Maranhão,103,91,97,209,138
Anajatuba,47,47,55,165,92
Anapurus,26,27,35,125,62
Apicum-Açu,44,52,49,159,72
Araguanã,17,17,15,65,25
Araioses,70,81,129,307,191
Arame,52,57,46,146,103
Arari,87,107,94,215,140
Axixá,16,27,26,120,40
Bacabal,553,544,602,922,829
Bacabeira,85,70,71,229,106
Bacuri,29,48,40,140,77
Bacurituba,10,7,3,86,20
Balsas,662,870,936,1206,1290
Barão De Grajaú,80,82,105,123,122
Barra Do Corda,264,305,402,640,556
Barreirinhas,294,318,333,581,512
Belágua,34,35,11,69,21
Bela Vista Do Maranhão,17,30,30,66,43
Benedito Leite,9,14,13,44,26
Bequimão,46,65,50,224,66
Bernardo Do Mearim,13,12,14,39,18
Boa Vista Do Gurupi,17,15,24,115,35
Bom Jardim,65,46,80,189,101
Bom Jesus Das Selvas,75,66,71,179,96
Bom Lugar,25,25,28,77,40
Brejo,73,80,102,210,133
Brejo De Areia,9,14,15,48,10
Buriti,45,43,38,152,53
Buriti Bravo,52,45,47,104,88
Buriticupu,180,150,157,427,242
Buritirana,30,29,41,85,48
Cachoeira Grande,17,9,24,70,22
Cajapió,14,10,19,105,23
Cajari,17,33,32,87,42
Campestre Do Maranhão,62,42,65,171,76
Cândido Mendes,39,51,46,183,110
Cantanhede,37,33,41,175,75
Capinzal Do Norte,37,39,38,77,56
Carolina,175,236,246,292,244
Carutapera,115,75,64,216,130
Caxias,663,631,794,1329,1062
Cedral,15,19,18,99,39
Central Do Maranhão,8,11,13,85,35
Centro Do Guilherme,51,31,36,74,46
Centro Novo Do Maranhão,36,40,54,130,64
Chapadinha,233,275,268,595,445
Cidelândia,51,40,50,114,53
Codó,309,336,412,746,549
Coelho Neto,96,123,137,321,173
Colinas,89,111,147,238,158
Conceição Do Lago-Açu,27,27,32,92,39
Coroatá,203,196,203,470,257
Cururupu,85,73,88,231,145
Davinópolis,36,56,58,208,93
Dom Pedro,91,70,105,183,146
Duque Bacelar,27,16,18,76,33
Esperantinópolis,47,45,49,137,69
Estreito,207,232,254,395,337
Feira Nova Do Maranhão,18,9,15,53,16
Fernando Falcão,13,10,19,52,24
Formosa Da Serra Negra,31,33,36,72,47
Fortaleza Dos Nogueiras,56,58,45,102,79
Fortuna,42,31,38,110,51
Godofredo Viana,63,47,42,96,74
Gonçalves Dias,41,18,25,66,47
Governador Archer,24,17,18,42,22
Governador Edison Lobão,58,86,144,261,182
Governador Eugênio Barros,31,18,21,82,36
Governador Luiz Rocha,18,14,19,47,25
Governador Newton Bello,14,12,18,63,26
Governador Nunes Freire,69,84,81,264,118
Graça Aranha,8,8,12,57,21
Grajaú,300,255,331,514,375
Guimarães,19,24,27,136,40
Humberto De Campos,39,56,51,158,82
Icatu,26,31,52,198,40
Igarapé Do Meio,24,10,28,65,39
Igarapé Grande,29,36,41,84,55
Imperatriz,2343,2744,3354,4523,4754
Itaipava Do Grajaú,32,20,24,95,38
Itapecuru Mirim,238,235,221,562,404
Itinga Do Maranhão,97,114,110,248,164
Jatobá,11,4,8,47,12
Jenipapo Dos Vieiras,20,26,23,64,37
João Lisboa,91,103,118,239,159
Joselândia,26,26,47,94,60
Junco Do Maranhão,13,12,12,62,27
Lago Da Pedra,129,171,183,241,264
Lago Do Junco,12,21,35,61,22
Lago Verde,26,32,23,121,45
Lagoa Do Mato,12,21,26,74,38
Lago Dos Rodrigues,21,33,29,68,58
Lagoa Grande Do Maranhão,27,28,15,72,34
Lajeado Novo,24,32,24,69,34
Lima Campos,28,29,30,78,53
Loreto,22,27,30,98,49
Luís Domingues,38,34,20,71,38
Magalhães De Almeida,32,40,66,140,86
Maracaçumé,77,102,118,232,134
Marajá Do Sena,10,13,4,40,11
Maranhãozinho,27,22,30,77,35
Mata Roma,21,28,29,103,52
Matinha,40,49,46,166,62
Matões,51,46,72,146,80
Matões Do Norte,16,20,15,129,32
Milagres Do Maranhão,3,9,3,56,9
Mirador,34,51,40,140,51
Miranda Do Norte,81,68,89,196,131
Mirinzal,44,54,55,154,95
Monção,31,41,46,139,66
Montes Altos,21,12,18,104,26
Morros,47,60,55,145,82
Nina Rodrigues,18,23,19,70,37
Nova Colinas,6,5,7,43,13
Nova Iorque,2,3,9,36,8
Nova Olinda Do Maranhão,30,46,35,134,40
Olho D'Água Das Cunhãs,34,40,46,97,60
Olinda Nova Do Maranhão,31,30,21,127,36
Paço Do Lumiar,754,805,1058,1603,1429
Palmeirândia,18,25,33,117,40
Paraibano,51,39,42,104,81
Parnarama,67,70,118,161,102
Passagem Franca,33,37,41,92,59
Pastos Bons,59,80,70,125,97
Paulino Neves,34,39,34,127,59
Paulo Ramos,39,22,39,94,72
Pedreiras,193,171,239,413,314
Pedro Do Rosário,11,26,40,136,46
Penalva,56,54,55,180,81
Peri Mirim,23,24,17,98,45
Peritoró,28,38,44,139,71
Pindaré-Mirim,70,63,88,216,190
Pinheiro,298,346,369,528,514
Pio Xii,45,62,59,152,92
Pirapemas,20,26,32,115,46
Poção De Pedras,33,32,54,98,55
Porto Franco,145,174,157,250,246
Porto Rico Do Maranhão,15,9,14,69,15
Presidente Dutra,209,231,266,431,379
Presidente Juscelino,32,19,25,87,32
Presidente Médici,9,17,22,68,23
Presidente Sarney,42,37,40,153,62
Presidente Vargas,16,19,13,91,25
Primeira Cruz,14,7,24,75,17
Raposa,161,153,177,365,245
Riachão,60,70,101,153,99
Ribamar Fiquene,11,10,22,122,39
Rosário,106,131,154,330,218
Sambaíba,14,15,13,40,23
Santa Filomena Do Maranhão,13,9,16,67,9
Santa Helena,79,92,111,206,131
Santa Inês,427,419,548,855,713
Santa Luzia,148,138,151,366,229
Santa Luzia Do Paruá,74,74,87,207,114
Santa Quitéria Do Maranhão,56,56,52,110,85
Santa Rita,252,124,116,275,193
Santana Do Maranhão,9,25,19,94,21
Santo Amaro Do Maranhão,45,69,90,147,97
Santo Antônio Dos Lopes,36,58,46,89,77
São Benedito Do Rio Preto,43,32,39,127,59
São Bento,57,95,113,268,137
São Bernardo,81,99,85,164,137
São Domingos Do Azeitão,22,29,38,99,55
São Domingos Do Maranhão,101,105,116,186,134
São Félix De Balsas,10,16,9,41,19
São Francisco Do Brejão,39,28,36,122,46
São Francisco Do Maranhão,15,23,33,69,54
São João Batista,24,22,26,138,41
São João Do Carú,25,35,31,112,48
São João Do Paraíso,35,48,37,133,57
São João Do Soter,28,20,36,128,47
São João Dos Patos,107,111,112,209,143
São José De Ribamar,1088,1356,1647,2397,2551
São José Dos Basílios,12,18,15,62,17
São Luís,9340,11021,13785,16792,17973
São Luís Gonzaga Do Maranhão,29,35,32,125,61
São Mateus Do Maranhão,111,139,138,313,200
São Pedro Da Água Branca,59,41,59,146,82
São Pedro Dos Crentes,19,15,33,35,25
